"","species","island","sex","average_body_mass","body_mass_variance"
"1","Adelie","Biscoe","female",3369.31818181818,117972.132034632
"2","Adelie","Biscoe","male",4050,126428.571428571
"3","Adelie","Dream","female",3344.44444444444,44967.9487179487
"4","Adelie","Dream","male",4045.53571428571,109261.739417989
"5","Adelie","Torgersen","female",3395.83333333333,67155.7971014493
"6","Adelie","Torgersen","male",4034.78260869565,138735.177865613
"7","Chinstrap","Dream","female",3527.20588235294,81415.4411764706
"8","Chinstrap","Dream","male",3938.97058823529,131143.60516934
"9","Gentoo","Biscoe","female",4679.74137931035,79286.3354506957
"10","Gentoo","Biscoe","male",5484.83606557377,98068.306010929
