Variables,Site,Time,mean_vals
NN,W,Day,0.6590476190476191
NN,W,Night,0.7593827160493827
Phosphate,W,Day,0.13535714285714287
Phosphate,W,Night,0.134320987654321
Salinity,W,Day,34.03717478654762
Salinity,W,Night,33.9975828028395
Silicate,W,Day,14.653214285714286
Silicate,W,Night,15.554074074074075
TA,W,Day,2247.380593809524
TA,W,Night,2258.7903689876543
Temp_in,W,Day,25.711042045238095
Temp_in,W,Night,24.824837056419753
pH,W,Day,8.070285714285713
pH,W,Night,7.955148148148148
percent_sgd,W,Day,1.8931801402619048
percent_sgd,W,Night,2.0095702937530864
